No.	Category	Information Item	Details / Specific Requirements	Related Inquiry Cases	Format	Required/Optional	Notes
1	Property Basics	Property Name (official & common)	Official name, OTA listing name, common name (for guest guidance)	All cases	Text	Required	Must match PMS registered name
2	Property Basics	Address (Japanese & English)	Full street address (Japanese + romanized). Building name, unit number. Accurate Google Maps pin (URL)	#6 Can't find property / #33 Transport / #60 Package	Text+URL	Required	Pre-verify Google Maps pin is correct
3	Property Basics	Property Type	Hotel / Minpaku (home-sharing) / Ryokan / Monthly / Lease. Registration/license number	Needed for ID verification procedure	Select	Required	Affects Japanese Inn Act ID verification obligation
4	Property Basics	Floor Plan & Size	Layout (1R/1LDK/2LDK etc.), size (sqm), room usage	#40 Equipment inquiry / #51 Photos don't match	Text	Required	Cross-check with listing
5	Property Basics	Max Capacity	Maximum guests, bed/futon breakdown (double×1, single×2 etc.). Extra bedding availability & location	#36 Headcount change / #40 Equipment inquiry	Numeric	Required	Also verify fire code capacity limits
6	Property Basics	Floor & Elevator	Which floor the property is on, elevator availability, elevator usage (card key required etc.)	#6 Access / #33 Transport	Text	Required	Needed for elderly/wheelchair accessibility info
7	Property Basics	Property Photos (current)	Latest photos of each room & facility. Not listing photos but as-is condition (exterior, entrance, rooms, kitchen, bath, toilet, beds, trash area, parking, key box etc.)	#51 Photos don't match / general troubleshooting	Photo	Required	Used for manual creation & AI training
8	Access / Key Info	Entry Procedure (detailed steps)	1) Building entrance method 2) Elevator/stairs 3) Room door unlock method. Photos for each step. Auto-lock status	#1 CI code not received / #2 Code not working / #3 Key location	Text+Photo	Required	Step-by-step. Video is even better
9	Access / Key Info	Smart Lock Info	Manufacturer & model, admin login (RemoteLock etc.), code issuance rules (when activated/deactivated), battery replacement timing, emergency physical key availability	#1 CI code / #2 Code not working / #21 Locked out	Text	Required	Needed for RemoteLock API integration setup
10	Access / Key Info	Key Box Info	Installation location (with photos), PIN, PIN change frequency/rules	#3 Can't find key	Text+Photo	Required	Photos should include path from exterior to key box
11	Access / Key Info	Spare Key Storage	Spare key location (mgmt co./on-site co./in property), number of keys	#21 Lost key	Text	Required	Essential for faster lockout response
12	Access / Key Info	Parking Info	Parking availability, location (with photos), car limit, height restrictions, rules (reservation/first-come). If no parking → nearest coin parking info	#7 Parking location	Text+Photo	Required	Height restrictions important (some vans won't fit)
13	Access / Key Info	Route from Nearest Station	Station name, exit number, walk time, landmark directions. If bus → bus line & stop name. Airport route	#6 Directions / #33 Transport	Text+Map	Required	Include landmarks visible at night
14	Equipment / Amenities	Wi-Fi Info	SSID (network name), password, router location, router restart method (power plug location). If mobile router → charging location	#9 Wi-Fi password / #10 Wi-Fi not connecting	Text+Photo	Required	Router photo (power button location) essential
15	Equipment / Amenities	AC Operating Instructions	Remote photo, basic operation (cool/heat toggle, temp adjustment) in multiple languages. Remote location. Battery type. If multiple units → room-to-remote mapping	#11 AC how to use / #12 AC not working	Text+Photo	Required	English translation overlay on Japanese remote photo ideal
16	Equipment / Amenities	Water Heater & Gas Instructions	Water heater remote location & operation. Gas meter location (photo) & reset procedure. Gas stove usage. Winter freeze prevention measures	#13 No hot water	Text+Photo	Required	Gas meter photo essential (guest can self-reset)
17	Equipment / Amenities	Plumbing Info	Shutoff valve locations (toilet, kitchen, sink — photos of each). Plunger storage location. Drain locations. Main valve location	#14 Toilet clogged / #15 No water / #48 Water leak	Text+Photo	Required	One of the most critical emergency info items
18	Equipment / Amenities	Kitchen Equipment List	Stove type (IH/gas) & operation. Microwave/toaster/rice cooker/dishwasher availability & usage. Fridge location. Cookware & dish inventory & storage	#16 Stove usage / #17 Appliance usage / #18 Cookware missing	Text+Photo	Required	Appliance panel photos essential
19	Equipment / Amenities	Washer / Dryer	Location, operation (button explanations), detergent location, dryer function, clothesline location. If coin-operated → pricing	#17 Washer usage	Text+Photo	Required	English translation of operation panel
20	Equipment / Amenities	TV & Entertainment	TV remote operation, input switching. Chromecast/FireTV/AppleTV availability & usage. Bluetooth speakers etc.	#20 TV usage	Text	Optional	Detailed streaming device instructions if available
21	Equipment / Amenities	Breaker / Distribution Panel	Panel location (photo), reset procedure when tripped, breaker-to-area mapping (kitchen/AC/lights etc.)	#19 Lights won't turn on / #49 Power outage	Text+Photo	Required	Include power usage warnings (simultaneous use limits)
22	Equipment / Amenities	Lighting Instructions	Light switch locations per room. Dimmer operation. Special/indirect lighting operation	#19 Lights won't turn on	Text	Optional	Essential if switches are in non-obvious locations
23	Equipment / Amenities	Amenity List & Storage	Provided amenities list (towel count, toothbrush, shampoo etc.). Spare storage locations (toilet paper, towels etc.). Cleaning supplies location (vacuum, broom). Insecticide location	#27 Extra towels / #28 Consumable replenishment / #30 Bug found	Text	Required	Spare locations especially important (enables guest self-service)
24	Equipment / Amenities	Bed & Bedding Configuration	Bed sizes per room (single/double/queen). Extra futon location & usage. Extra pillow stock	#40 Equipment inquiry / #36 Headcount change	Text	Required	Verify matches listing
25	House Rules	Waste Disposal Rules	Sorting method (burnable/non-burnable/PET bottles/cans/glass/cardboard), collection days, disposal area location (photo), designated bag requirements & storage	#29 Waste disposal / #64 Long stay	Text+Photo	Required	Needed for multilingual sorting guide creation
26	House Rules	Internet Provider Info	ISP name, contract plan, speed, ISP support phone number. Trouble contact	#10 Wi-Fi not connecting	Text	Optional	Needed for ISP contact when speed is slow
27	House Rules	Electrical Contract Info	Power company name, contracted amperage, simultaneous usage warnings (e.g. AC+IH+dryer trips breaker). Power co. contact	#19 Breaker / #49 Power outage	Text	Optional	Especially important for properties with frequent breaker trips
28	House Rules	Gas Company Info	Gas company name, contact phone, city gas/propane type. Gas meter number	#13 No hot water	Text	Required	Needed for gas company contact when gas stops
29	House Rules	Water Utility Info	Water bureau contact. Main valve location. Winter freeze risk & prevention measures	#15 No water / #48 Water leak	Text	Optional	Freeze prevention manual essential for cold-region properties
30	Check-in / Check-out	CI/CO Times	Standard CI time (e.g. 15:00), standard CO time (e.g. 10:00). Early CI/Late CO availability, conditions, extra fees	#4 Early CI / #42 Late CO	Text	Required	Also confirm cleaning buffer times
31	Check-in / Check-out	Checkout Procedure	Guest tasks at CO: gather trash, clean dishes, close windows, turn off AC, key return method, sheet handling etc.	#41 CO procedure	Text	Required	Often varies by property
32	Check-in / Check-out	Noise Rules (Quiet Hours)	Quiet hours (e.g. 22:00-8:00), music/TV volume limits, party prohibition. Condo management noise rules	#23 Noise complaint / #24 Noise report	Text	Required	For condo properties, include relevant mgmt regulation sections
33	Check-in / Check-out	Smoking Rules	Indoor non-smoking/smoking, balcony smoking policy, designated smoking area location. Violation cleaning fee	#62 Smoking area	Text	Required	Pre-specify violation fees clearly
34	Check-in / Check-out	Pet Policy	Pets allowed/not allowed. If allowed: type/size restrictions, extra fee, rules (crate required etc.). If not: nearest pet hotel info	#61 Pet inquiry	Text	Required	Alternative info needed even if pets not allowed
35	Check-in / Check-out	Additional Guest Policy	Visitor policy, extra guest fee, registry requirement	#36 Headcount change	Text	Required	Related to Inn Act registry obligations
36	Cleaning / Maintenance	Long-Stay Policy	Long-stay cleaning frequency & cost, linen exchange rules, waste disposal responsibility, utility cap (if any)	#26 Mid-stay cleaning / #64 Long-stay handling	Text	Required	Essential for properties with 7+ night bookings
37	Cleaning / Maintenance	Luggage Storage Policy	Pre-CI/Post-CO luggage storage availability, storage location, available hours	#44 Luggage storage	Text	Optional	If unavailable, provide nearby locker info as alternative
38	Cleaning / Maintenance	Lost Item Policy	Retention period, contact method, shipping method (COD mail etc.), disposal rules	#43 Lost item	Text	Optional	Delta HQ provides template if no standard policy exists
39	Cleaning / Maintenance	Nearest Convenience / Grocery	Store name, walk time, business hours. 24-hour availability	#31 Nearby convenience / #28 Consumables	Text	Required	Google Maps links recommended
40	Cleaning / Maintenance	Recommended Restaurants	Nearby recommended restaurants (Japanese/Western/family etc.), cafes, izakaya. Vegetarian/halal options if available	#31 Restaurant guide	Text	Optional	Host personal recommendations appreciated by guests
41	Local Information	Tourist Spots / Activities	Major attractions, experience activities (skiing, hot springs etc.), partner facilities & discounts	#32 Tourism guide	Text	Optional	If partner facilities exist, include booking flow
42	Local Information	Nearest Medical Facilities	Nearest hospital/clinic name, address, phone, hours. Night emergency hospital. Foreign-language medical facilities. Nearest pharmacy	#34 Hospital location / #47 Illness	Contact List	Required	English-capable hospitals especially important
43	Local Information	Nearest Coin Laundry	Name, location, hours, pricing (essential if no in-unit washer)	#17 Laundry related	Text	Optional	Essential if property has no washer
44	Local Information	Nearest Coin Lockers / Luggage Storage	Station coin locker locations, ecbo cloak or similar luggage storage services	#44 Luggage storage	Text	Optional	Essential for properties that don't offer luggage storage
45	Emergency Response	Equipment Repair Company	Company name, phone, available hours, service area, repair types (plumbing/electrical/gas/locks etc.). 24h availability	#12 AC broken / #13 No hot water / #14 Toilet / #15 No water / #19 Electrical	Contact List	Required	Organize by category if multiple companies
46	Emergency Response	On-site Response Company	Company name, phone, available hours, response time estimate, scope (lockout/noise/safety check etc.), cost	#21 Locked out / #22 Suspicious person / #24 Noise response	Contact List	Required	24h availability is critical
47	Emergency Response	Cleaning Company	Company name, person in charge, phone, standard cleaning time, emergency availability, linen exchange rules	#25 Dirty room / #26 Mid-stay clean / #27 Extra towels / #43 Lost item check	Contact List	Required	Also confirm cleaning completion notification method
48	Emergency Response	Management Company (condo etc.)	Mgmt co. name, phone, manager on-duty hours, common area trouble contact, emergency contact (night)	#23 Noise / #48 Water leak / #59 Mgmt co. complaint	Contact List	Required	Also recommended to obtain copy of mgmt regulations
49	Emergency Response	Owner Contact	Owner name, phone, email, LINE etc. Available hours. Emergency policy (repair cost approval rules, amount ceiling etc.)	#58 Repair approval / #54 Refund decision / all emergencies	Contact List	Required	Pre-agree on cost approval ceiling
50	Communication	Pest Control Company	Company name, phone, available hours	#30 Bug found	Contact List	Optional	Essential for mountain/warm climate properties
51	Communication	Cleaning Manual & Checklist	Standard cleaning procedure, checklist, completion report method. Post-clean photo rules	#25 Dirty room	Template	Optional	Serves as cleaning quality standard
52	Communication	Linen / Towel Setup Quantities	Standard setup per guest: bath towels/face towels/hand towels. Sheet/pillowcase types & sizes. Spare storage location	#27 Extra towels	Text	Required	Setup standards based on guest count
53	Communication	Amenity Setup List	Shampoo/conditioner/body wash/hand soap/toothbrush/razor/cotton swabs/tissue/toilet paper — items and quantities. Spare stock location	#28 Consumable replenishment / #40 Equipment inquiry	Text	Required	Note brand specifications if any
54	Booking Policy	OTA Listing Info	Active OTA list (Airbnb/Booking.com/Expedia/Rakuten etc.), listing URLs for each, admin login credentials (if proxy operation needed)	#37 Cancellation / #39 Double charge / #55-56 Review response	Text+URL	Required	Pre-agree on proxy operation authority scope
55	Booking Policy	Pricing Structure	Base rate, extra guest fee, cleaning fee, parking fee, pet fee, other option fees. Seasonal pricing. Long-stay discounts	#38 Pricing inquiry / #42 Late CO fee	Text	Required	Directly impacts pricing inquiry responses
56	Booking Policy	Cancellation Policy	Cancellation policy per OTA, direct booking cancellation policy, refund rules	#37 Cancellation / #54 Refund request	Text	Required	May differ by OTA
57	Booking Policy	Payment Methods	Accepted payment methods (credit card/cash/bank transfer etc.), billing timing	#38 Pricing / #39 Double charge / #63 Receipt	Text	Required	
58	Booking Policy	Receipt Issuance Rules	Receipt issuance availability, name change availability, invoice registration number availability	#63 Receipt request	Text	Optional	Especially important for properties with many corporate guests
59	Guest Information	Reporting Frequency & Content	Monthly/weekly report desired content (occupancy, revenue, incident list etc.), reporting method (email/LINE/dashboard)	#57 Monthly report	Text	Optional	Customize per owner
60	Guest Information	Repair / Investment Approval Rules	Repair cost threshold requiring pre-approval (e.g. under ¥10,000 → post-report OK, above → pre-approval). Emergency exception rules	#58 Repair approval / #52 Multiple failures	Text	Required	Pre-agree for cases that can't wait for approval
61	Guest Information	Compensation / Refund Authority	Maximum refund/compensation amount delegated to CS team. Escalation rules for amounts exceeding threshold	#54 Refund request / #51 Photos don't match	Text	Required	Directly impacts complaint response speed
62	Guest Information	Insurance Info	Fire insurance / facility liability insurance status, insurance company & policy number, contact. Guest damage claim flow	#50 Theft / #48 Water leak	Text	Required	Needed for insurance claims in case of accidents